metadata_type,text
hole13,"A testament to the advantages of using the natural contours of the land to fashion interesting golf, Alister MacKenzie did little to manipulate this hole, which has become known as one of the best three-shotters in the world. The tilt of the fairway makes the long approach over a tributary of Rae's Creek exciting due to the unavoidable hanging lies players will face. The two-level green reveals a diverse set of pin positions, all of which require players to approach it in subtly different ways. In 2023, a new back tee was built to add as much as 35 yards to this iconic hole. In order to add it, the club had to purchase several acres from neighboring Augusta Country Club in order to accommodate the change, prompting ACC to shift its 9th hole to the left."
hole14,"Augusta National's only bunkerless hole is a strong argument for why bunkers can be overrated and overused on many courses. Contour, like that found on and around this heaving green, provides plenty of challenge and day-to-day variety. The typical Sunday back-center hole location provides ample opportunity for hole-outs, while a middle-left pin needs to be approached very cautiously."
hole15,"The last of Augusta National's superlative par fives plays over a rise and down to one of the more intimidating greens in golf. The shallow putting surface shrugs balls off the front into a pond just as easily as the back can springboard approaches toward and even into the pond that fronts the 16th tee. Players who lay up are faced with one of the toughest wedge shots in the game, off a downslope to the crowned putting surface. That is what makes approaches like Jack Nicklaus' 4-iron in 1986 and Sergio Garcia's 8-iron in 2017 so heroic. Each led to eagles that propelled their authors to victory."
hole16,"Once again, the large and sweeping contours of Augusta National's greens make this hole play drastically differently one day to the next. When the cup is cut on the elevated right half of the green, birdies can be scarce. But come Sunday, when the pin position sits on the lower left-hand portion of the green, holes-in-one are not uncommon, despite the cup's proximity to the water. It is a versatile, exciting hole that always plays a starring role in the late drama of any tense edition of the Masters."
hole17,"Although the famed Eisenhower Tree has been gone for nine years, this hole still perplexes players every year. The contours of the green come courtesy of Perry Maxwell, who updated it from MacKenzie's original design in 1937. Those ""Maxwell rolls"" make approaches from even the ideal position off the tee tricky. Many golfers have had the green jacket slip through their fingers here."
hole18,"It is far from the flashiest hole at Augusta National, but it is a sturdy, solid test worthy of the dozens of major championships that have been settled on its two-level putting surface. First things first, though: the drive must get through the chute of trees at the bottom of the hill and come to rest short of the two fairway bunkers. As is the case throughout the course, the traditional Sunday pin position sits in a low area over the front greenside bunker, ripe for a heroic approach that either takes dead aim or uses the sideboard and backboard slopes to feed a ball close."
preview_1,"AUGUSTA, Ga. -- Fifteen-time major championTiger Woodswon't tee it up in the 89th Masters because he's recovering from a ruptured left Achilles tendon, but there are still plenty of storylines as the world's best golfers descend on Augusta National Golf Club this week. World No. 1Scottie Schefflerwill try to joinJack Nicklaus(1963, 1965 and 1966) as the only golfers to win three green jackets in a four-year span. He can become only the fourth player in Masters history to win in back-to-back years; Nicklaus,Nick Faldo(1989-90) and Woods (2001-02) were the others. World No. 2Rory McIlroymight have better form than Scheffler heading into the first major championship of the season. McIlroy will attempt to become only the sixth golfer in the Masters era to complete the career Grand Slam by capturing a green jacket. It will be McIlroy's 11th attempt, and he'll try to end a major championship drought of more than 10 years. Those aren't the only intriguing storylines in what promises to be a drama-filled week at Augusta National. For the first time in eight months, the best golfers from the PGA Tour and LIV Golf League will be competing in the same field. ""[It's] a week that we all cherish the most,"" three-time Masters winnerPhil Mickelsonsaid. ""It's the start of the major championship series. History is made there every year."" Here's a look at the 95 golfers in the field, from the guys who can win to those who are simply trying to make the cut. Continue reading this article and more from top writers, for only $11.99/mo. Already an ESPN+ subscriber? Log in here."
preview_2,"Ninety-five players, followingVijay Singh’s Monday withdrawal, will tee it up in this week’s Masters Tournament at Augusta National, including world No. 1 Scottie Scheffler, who has won two of the past three editions of the year’s first major. Despite missing some time with a hand injury earlier this year, Scheffler still has not finished outside the top 25 this year. And while he hasn’t won since the Hero World Challenge last December, there’s no reason that Scheffler shouldn’t be the favorite to win a third green jacket. Augusta National looks a little different this year, mainly because of the many trees that were lost during Hurricane Helene. There are also four new greens, according to Rory McIlroy (Nos. 1, 8, 15 and 16). But it’s still the same second-shot golf course that will favor elite approach play, crafty scramblers and strong putters, especially those who lag it well. With Scheffler coming off a strong putting performance in Houston, that bodes even better for him. Starting with Scheffler, here’s how I’d ranked the entire field: 1. Scottie Scheffler:Hasn’t gotten in the winner’s circle recently, but coming off a T-2 in Houston shows the two-time green jacket winner is primed to add to his dazzling record here. He’s still top-10 in the major ball-striking stats and enters this week ranked in the top 50 in strokes gained putting after a turnaround week on the greens at Memorial Park. 2. Collin Morikawa:Coming off his best Masters finish, a T-3, his third straight top-10 here. He’s also the PGA Tour’s leader in strokes gained approach and proximity, and is the hottest player according to Data Golf. A win Sunday would put him just a U.S. Open away from the career grand slam. 3. Justin Thomas:The model ranked Thomas first among PGA Tour players, as he’s top 10 in strokes gained approach and top 40 in strokes gained putting. Plus, he’s got three top-10s in his last four starts, so you can ignore those two straight missed cuts at Augusta that came when he was slumping. 4. Rory McIlroy:Enters this week with questions to answer about a right-elbow injury that he casually mentioned in Houston. But if he’s healthy, he’s got as good a chance as he’s had in a while. He’s won three of his last seven worldwide events and is nearly top 10 in strokes gained putting, but he’s not hit it particularly close this season (No. 87 in proximity). 5. Jon Rahm:Sunday’s T-9 at LIV Miami was hisworstfinish of the season. He’s third on that tour in greens hit, and he’s got a win and two other top-7s in his last five Masters starts. 6. Shane Lowry:His run of four straight top-20s includes three finishes of T-11 or better. And though he was T-43 last year at Augusta, he was T-3 two years prior as part of a run of four straight top-25s. He’s sixth in both proximity and strokes gained approach and nearly top 10 in lag putting. He’s the best outside of the no-brainer picks. 7. Russell Henley:Uncharacteristically average off the tee (barely inside the top 100), but top 25 in the other three major strokes-gained categories. And he’s got a win and two other top-6 finishes in his last five starts as he heads to a place where he tied for fourth two years ago. 8. Patrick Cantlay:Statistically in a much better spot than a year ago before this tournament when he tied for 22nd. He’s No. 1 in par-5 scoring, too. 9. Will Zalatoris:He doesn’t have a top-20 since AmEx, but he remains a top-15 or so ball-striker and excellent lag putter. Plus, his record at the Masters is crazy good – a second, T-6 and T-9. 10. Bryson DeChambeau:Slid back to fifth on Sunday at LIV Miami, but it was still his best finish since the season opener. Now, does he have Augusta somewhat figured out after last year’s T-6? I think so. SAN ANTONIO, TEXAS - APRIL 03: Tommy Fleetwood of England plays his shot from the fourth tee during the first round of the Valero Texas Open 2025 at TPC San Antonio on April 03, 2025 in San Antonio, Texas. (Photo by Jonathan Bachman/Getty Images) Getty Images  11. Tommy Fleetwood:Ranked 12th in the world rankings, which is a popular spot to be among Masters champions. He’s second in approach putting and nearly top 10 in strokes gained approach. And how about this crazy stat: He’s not finished outside the top 25 since The Open last July. 12. Sepp Straka:Has opened his Masters career with three straight made cuts, including a T-16 last year. And he continues to be solid since his AmEx win. He’s top 5 in strokes gained approach, proximity and par-5 scoring. 13. Xander Schauffele:Perfect time to buy low, as Schauffele finally shed the post-injury rust with a T-12 at Valspar, where he gained a career-best 11.276 strokes on approach. 14. Robert MacIntyre:Back in the Masters after two years away. He was T-12 in his debut and T-23 in his encore. The lefty loves this place and has really turned things around with four T-11 finishes or better in his last five starts. 15. Hideki Matsuyama:There’s always the unknown with Matsuyama. He’s coming off two straight missed cuts, including Friday at Valero, and yet no one would be surprised if he notched his ninth top-20 finish in his last 11 Masters. He’s not the top gainer around the greens on Tour, but he’s close, and he’s second in par-5 scoring. 16. Cameron Smith:Just a horse for this course with four top-10s in his last five Masters starts, including a T-6 last year. 17. Keegan Bradley:Has two straight top-25s at the Masters since getting back in the tournament after a few years away. Nothing spectacular at Valero, but he’s top 10 in proximity, which obviously will play at Augusta. 18. Min Woo Lee:Boosted by recent Houston win and now heads to Augusta, where he has two top-25s in three starts. He’s still outside the top 100 in strokes gained approach but surprisingly top 30 in proximity. Couple that was top-10 ranks in strokes gained around the green and putting. 19. J.J. Spaun:He’s the PGA Tour’s second-ranked player in strokes gained approach and possesses great speed on the greens. He’s enjoying a nice year with two runners-up already. Also T-23 in his Masters debut three years ago. My favorite sleeper this week. 20. Daniel Berger:Was T-50 in his last Masters three years ago, but his career resurgence has included six top-25s in his last seven starts. He’s top 50 in strokes gained approach and putting, but scrambling is where he’s really excelled, and that’s an underrated stat at Augusta. SAN ANTONIO, TEXAS - APRIL 06: Jordan Spieth of the United States walks on the 16th green during the final round of the Valero Texas Open 2025 at TPC San Antonio on April 06, 2025 in San Antonio, Texas. (Photo by Mike Mulholland/Getty Images) Getty Images  21. Joaquin Niemann:No top-10s yet in his Masters career, but he has cracked the top 40 in four straight appearance. Not great, but it’s not terrible either. Plus, he’s already won twice on LIV this year. 22. Jordan Spieth:The wrist certainly isn’t an issue of the past, and Spieth does have two missed cuts in his past three Masters – with a T-4 in between, though. The good news is he’s not missing many cuts of late and he’s coming off a T-12 at Valero. Worth a flier. 23. Brooks Koepka:Was T-18 at LIV Miami after his runner-up in Singapore. He’s not been an elite GIR guy this year on LIV, but it wasn’t that long ago that he was posting a T-2 at the 2024 Masters. He should better his T-45 from last year easily despite the concerns. 24. Ludvig Åberg:I’m going to be honest; my model doesn’t love him this week. He’s nearly outside the top 100 in strokes gained approach and putting, and his play around the greens has been the most glaring issue. Still, the guy was second last year at Augusta and won Genesis earlier this year. I’ll keep him in the top 25. 25. Michael Kim:Hear me out on this one. Kim has cooled off a little since his hot run earlier this year, which included a runner-up in Phoenix and solo fourth at API. But the iron play and short game have been at a top-30 level this season and I think he’s a worthy sleeper. 26. Nicolai Højgaard:Contended for a while before ultimately finishing T-16 at last year’s Masters. He’s got length, is basically a top 25 iron player and is ranked inside the top 50 in strokes gained putting. Just needs to play the par-5s better than he’s been. 27. Viktor Hovland:Three straight MCs before winning Valspar. He’s taken a couple weeks off now. Let’s just hope he’s continued to get comfortable with his swing. He’s still around the top 10 in strokes gained approach and proximity. So, hopefully he can play more like his T-7 from the 2024 Masters and not last year’s MC. 28. Corey Conners:His T-18 at Valero snapped a streak of three straight top-8s, but it’s also worth noting that he’s barely inside the top 75 in strokes gained approach and has gone MC, T-38 in his last two Masters after a hot stretch there. 29. Patrick Reed:The guy is an Augusta bruiser with four top-12s since his 2018 win. 30. Denny McCarthy:Great putter; we know that. But he’s also nearly top 10 in proximity and top 30 in strokes gained approach. He also has five top-20s in six starts and was a solid T-45 in his Masters debut last year. DORAL, FLORIDA - APRIL 06: Captain Sergio Garcia of fireballs GC hits his shot from the fifth tee during Day Three of LIV Golf Miami at Trump National Doral Miami on April 06, 2025 in Doral, Florida. (Photo by Lauren Sopourn/Getty Images) Getty Images  31. Sergio Garcia:The former Masters champ has a win and two other top-4s in his last four LIV starts. He’s also top 5 in GIR and scrambling. Three MCs in his last four Masters starts doesn’t scare me as much as it probably should. 32. Stephan Jaeger:Missed the cut in his Masters debut last year, but he’s playing solidly of late, and he’s top 40 in strokes gained approach, around the green and putting. Just have a feeling. 33. Tyrrell Hatton:Loved the bounce-back 70 after an 11-over start through 36 holes in Miami, but he’s still only posted one top-15 on LIV since winning the DPWT’s Dubai Desert Classic at the start of the year. Was T-9 at last year’s Masters, though. 34. Akshay Bhatia:MC at Valero was a momentum killer, but he still has three top-9s in his last five starts. Also was T-35 in last year’s Masters debut. All-around talent who especially excels on the greens (top 10 in strokes gained putting). 35. Lucas Glover:Equaled his best Masters finish last year (T-20), so perhaps it’s time that his iron play (top 25 in approach, top 5 in proximity) makes him a consistent fixture here. The model likes him. 36. Nick Taylor:Got burned by last year’s MC at Masters, and he’s riding a two-straight-MC streak entering this week, too. But I just think his elite approach play is going to be rewarded here at some point. 37. Jason Day:A couple finishes in the 30s since getting back in the Masters field after a year away. Has a couple top-15s in recent events, too. His stats are all over the place, though, as he’s outside the top 100 in strokes gained putting but fourth in approach putting. 38. Phil Mickelson:His sixth in Miami followed a third in Singapore a couple starts before that. He’s not missing the cut at Augusta, it’s just a matter of if he can contend or not. Just don’t be surprised, that’s all I’ll say. 39. Joe Highsmith:Another first-timer who can do everything above average except chip. Winning Cognizant was huge for his confidence. Gets the lefty bump. 40. Billy Horschel:T-38 is his best Masters finish in his last six starts here. T-4 at Valspar was his most recent result, so he has some momentum. I think he can lean on his iron game and putting enough to crack the top 40. HOUSTON, TEXAS - MARCH 30: Wyndham Clark of the United States hits his tee shot on the 17th hole during the final round of the Texas Children’s Houston Open 2025 at Memorial Park Golf Course on March 30, 2025 in Houston, Texas. (Photo by Jonathan Bachman/Getty Images) Getty Images  41. Wyndham Clark:T-5 at Houston gives him some momentum, but he’s outside the top 100 in strokes gained approach and MC’d in his Masters debut last year. He’s probably this high still based on name only. 42. Cam Davis:The T-12 last year was no fluke, but he’s not higher because he’s missed four straight cuts since a T-5 at Pebble. 43. Adam Scott:He doesn’t have a top-25 since Pebble and his Masters record of late has been average. Not worried about him too much on the greens, but he’s well outside the top 50 in strokes gained approach and proximity. 44. Taylor Pendrith:Masters debutant with a lot of power, second in par-5 scoring and a top-40 approach player. Also coming off a T-5 in Houston. 45. Tom Hoge:He’s a flusher (top 15 in strokes gained approach and fourth in proximity), but he just does not show up in majors. 46. Davis Thompson:Top-10 at The Players should give him some confidence in his Masters debut, but he’s got to putt better if he wants to contend here (nearly outside the top 150 in strokes gained putting). 47. Aaron Rai:He’s been a popular sleeper a lot in the past year or so. Top 40 in strokes gained approach with a handful of top-15s recently. Should be among the top finishing Masters rookies. 48. Maverick McNealy:Another Masters rookie who can putt the lights out and has been making huge improvements with the irons (top 30 basically in strokes gained approach). 49. Kevin Yu:Top 30 in strokes gained approach and approach putting. Has four top-20s in his last six starts. 50. Sungjae Im:Has had his moments here, and the name recognition will have some picking him, but he’s also outside the top 170 in strokes gained approach. 51. Justin Rose52. Tom Kim53. Tony Finau54. Zach Johnson55. Dustin Johnson56. Max Greyserman57. Danny Willett58. Nico Echavarria59. Brian Campbell60. Brian Harman 61. Charl Schwartzel62. Thomas Detry63. Christiaan Bezuidenhout64. Byeong Hun An65. Nick Dunlap66. Sahith Theegala67. Chris Kirk68. J.T. Poston69. Sam Burns70. Adam Schenk 71. Laurie Canter72. Davis Riley73. Matt Fitzpatrick74. Bubba Watson75. Cameron Young76. Jhonattan Vegas77. Harris English78. Patton Kizzire79. Austin Eckroat80. Matt McCarty 81. Rasmus Højgaard82. Max Homa83. Matthieu Pavon84. Rafael Campos85. Thriston Lawrence Amateurs:1. Josele Ballester, 2. Justin Hastings, 3. Evan Beck, 4. Noah Kent, 5. Hiroshi Tai Other past champions:1. Bernhard Langer, 2. Angel Cabrera, 3. Jose Maria Olazabal, 4. Fred Couples, 5. Mike Weir A Division ofNBCUniversal. DISCLAIMER: This site and the products offered are for entertainment purposes only, and there is no gambling offered on this site. This service is intended for adult audiences. No guarantees are made for any specific outcome. If you or someone you know has a gambling problem, please call 1-800-GAMBLER. Ⓒ 2024 NBC Universal"
preview_3,"Editor's note: Past Masters champion Vijay Singh withdrew Monday due to injury, making the field now 95 players. The anticipation is over: Masters week is finally here. The seasonâs first major is always ripe with storylines, starting with Rory McIlroyâs 17th appearance. This is his 11th trip to Augusta with the career grand slam on the line, andall eyes will be on the Tourâs best player so far this year. Scottie Scheffler is the defending champion and the betting favorite, though the world No. 1 hasnât won yet in 2025. Last year, and in 2022, he had multiple wins on Tour before putting on the green jacket. This will be the third Masters contested since the founding of LIV Golf, and the circuit is stilllooking for a homegrown major champion. Bryson DeChambeau was a major champion before LIV, won the U.S. Open last summer as a current LIV member and now heads to the Masterscomfortable in his own skinand off a T6 last seasonâhis best finish in seven starts as a pro. Tiger Woods wonât be competing while he recovers from Achilles surgery but patrons will continue to sit at the 16th green and talk abouthis magical chip-in that is now 20 years old. The field stands at 96 players;Brian Harman won the Valero Texas Open on Sundayand was already in via his 2023 British Open title the last-chance spot for the field was left unclaimed. Here'show each player qualifiedfor the 89th Masters. 96 players Ãberg, LudvigAn, Byeong HunBallester Barrio, Jose LuisBeck, EvanBerger, DanielBezuidenhout, ChristiaanBhatia, AkshayBradley, KeeganBurns, SamCabrera, ÃngelCampbell, BrianCampos, RafaelCanter, LaurieCantlay, PatrickClark, WyndhamConners, CoreyCouples, FredDavis, CamDay, JasonDeChambeau, BrysonDetry, ThomasDunlap, NickEchavarria, NicoEckroat, AustinEnglish, HarrisFinau, TonyFitzpatrick, MattFleetwood, TommyGarcia, SergioGlover, LucasGreyserman, MaxHarman, BrianHastings, JustinHatton, TyrrellHenley, RussellHighsmith, JoeHoge, TomHÃ¸jgaard, NicolaiHÃ¸jgaard, RasmusHoma, MaxHorschel, BillyHovland, ViktorIm, SungjaeJaeger, StephanJohnson, DustinJohnson, ZachKent, NoahKim, MichaelKim, TomKirk, ChrisKizzire, PattonKoepka, BrooksLanger, BernhardLawrence, ThristonLee, Min WooLowry, ShaneMacIntyre, RobertMatsuyama, HidekiMcCarthy, DennyMcCarty, MattMcIlroy, RoryMcNealy, MaverickMickelson, PhilMorikawa, CollinNiemann, JoaquinOlazÃ¡bal, JosÃ© MarÃ­aPavon, MatthieuPendrith, TaylorPoston, J.T.Rahm, JonRai, AaronReed, PatrickRiley, DavisRose, JustinSchauffele, XanderScheffler, ScottieSchenk, AdamSchwartzel, CharlScott, AdamSmith, CameronSpaun, J.J.Spieth, JordanStraka, SeppTai, HiroshiTaylor, NickTheegala, SahithThomas, JustinThompson, DavisVegas, JhonattanWatson, BubbaWeir, MikeWillett, DannyYoung, CameronYu, KevinZalatoris, Will John Schwarb is a senior editor for Sports Illustrated covering golf.  Prior to joining SI in March 2022, he worked for ESPN.com, PGATour.com, Tampa Bay Times and Indianapolis Motor Speedway. He is the author of The Little 500: The Story of the World's Greatest College Weekend. A member of the Golf Writers Association of America,  Schwarb has a bachelor's in journalism from Indiana University. Follow johnschwarb Â© 2025ABG-SI LLC- SPORTS ILLUSTRATED IS A REGISTERED TRADEMARK OF ABG-SI LLC. - All Rights Reserved. The content on this site is for entertainment and educational purposes only. Betting and gambling content is intended for individuals 21+ and is based on individual commentators' opinions and not that of Sports Illustrated or its affiliates, licensees and related brands. All picks and predictions are suggestions only and not a guarantee of success or profit. If you or someone you know has a gambling problem, crisis counseling and referral services can be accessed by calling 1-800-GAMBLER."
preview_4,"The field is set for the89th Masters Tournamentwith 95 players to compete in the season’s first major at Augusta National Golf Club (Vijay Singh withdrew Monday). Here’s a look at the full field and how they qualified:  The Associated Press contributed to this list. A Division ofNBCUniversal. DISCLAIMER: This site and the products offered are for entertainment purposes only, and there is no gambling offered on this site. This service is intended for adult audiences. No guarantees are made for any specific outcome. If you or someone you know has a gambling problem, please call 1-800-GAMBLER. Ⓒ 2024 NBC Universal"
